67470 67470 67470 67470 67470 67470 67470 67470 67470 67470
67458 67458 67458 67458 67458 67458 67458 67458 67458 67458
67458 67458 67458 67458 67470 67470 67470 67458 67458 67458
67434 67434 67434 67434 67434 67422 67434 67434 67434 67434
67470 67470 67470 67470 67458 67458 67458 67458 67470 67470
67410 67410 67422 67422 67422 67422 67422 67422 67422 67422
67470 67470 67470 67470 67458 67458 67470 67470 67458 67470
67470 67458 67470 67458 67470 67458 67458 67470 67470 67458
67446 67446 67446 67446 67434 67434 67434 67446 67434 67446
67446 67458 67458 67458 67446 67458 67458 67458 67458 67434
67458 67458 67458 67458 67458 67458 67458 67458 67458 67458
67458 67470 67458 67470 67458 67470 67470 67470 67458 67470
67422 67434 67422 67434 67434 67434 67434 67434 67434 67434
67422 67410 67410 67410 67422 67422 67422 67422 67422 67422
67470 67470 67446 67470 67458 67470 67470 67470 67470 67470
67458 67458 67446 67446 67458 67458 67458 67458 67446 67458
67446 67434 67434 67446 67434 67446 67446 67446 67434 67434
67434 67422 67434 67434 67434 67434 67422 67434 67422 67434
67458 67470 67458 67458 67470 67470 67470 67470 67470 67470
67458 67458 67458 67458 67458 67458 67458 67458 67446 67458
